sample1,,0,1 mg mL,,EM-260 0,1,,EM-260 0,01,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
730,0.1001548693,730,0.01685366221,730,0.000477547932,730,6.969062088E-5,
729,0.1002840474,729,0.01708103158,729,0.0004400254402,729,0.0002875588543,
728,0.09994292259,728,0.01735658199,728,0.0008105985471,728,0.000362425315,
727,0.1005193591,727,0.01671945304,727,0.0006783017307,727,0.0002726389212,
726,0.1005797535,726,0.01719889604,726,0.0006166530657,726,0.0002125758183,
725,0.100333944,725,0.01711425744,725,0.0008472712361,725,0.000355870754,
724,0.1004368216,724,0.01686332189,724,0.0007570474409,724,0.0005007938016,
723,0.1002747864,723,0.01661129482,723,0.000657794415,723,0.0002045214205,
722,0.1002802998,722,0.01664946042,722,0.0006542427,722,0.0002138707496,
721,0.1002466157,721,0.01691154949,721,0.0006859241985,721,0.0002843468974,
720,0.09985123575,720,0.01692640595,720,0.0009432728984,720,0.00033245128,
719,0.1003759876,719,0.01705672033,719,0.0009197439067,719,0.0004183892743,
718,0.09741543233,718,0.01668200828,718,0.0005092942738,718,6.109131391E-6,
717,0.0978673175,717,0.01688649319,717,0.0006366918096,717,0.0004008997639,
716,0.09767960012,716,0.01684860326,716,0.0006939097075,716,0.0002830776502,
715,0.09729821235,715,0.01658163033,715,0.0007458194159,715,0.0001958456123,
714,0.09761940688,714,0.01696885191,714,0.00052214897,714,0.0002739858464,
713,0.09759860486,713,0.01639381982,713,0.0007819160819,713,0.0003558448225,
712,0.09772426635,712,0.01649211161,712,0.0009695272311,712,0.0003884891048,
711,0.09775494039,711,0.01681041904,711,0.0008341216017,711,0.0006736090872,
710,0.09703774005,710,0.01634702086,710,0.0004207990132,710,0.0001394959982,
709,0.09686677903,709,0.01658499241,709,0.0006094984128,709,0.0003111313272,
708,0.09677564353,708,0.01630681194,708,0.0006791573251,708,0.0003646015539,
707,0.09626598656,707,0.01612473652,707,0.0006064136978,707,0.0002656712895,
706,0.0960803479,706,0.01622108556,706,0.0003024793114,706,0.0005120414426,
705,0.09600332379,705,0.01647990383,705,0.0005154106184,705,0.0003990860714,
704,0.09582024813,704,0.016383579,704,0.0007021806086,704,0.0004830936668,
703,0.09574147314,703,0.01616178453,703,0.0004910496064,703,0.0002094420925,
702,0.09568751603,702,0.01639535278,702,0.0008816643967,702,0.0008319948683,
701,0.09572255611,701,0.0158817824,701,0.0006735831266,701,9.286289423E-5,
700,0.09580675513,700,0.01589955762,700,0.000721212069,700,0.0002873257326,
699,0.09582654387,699,0.01640648209,699,0.0008378304192,699,0.0006353956414,
698,0.09615792334,698,0.01642680541,698,0.000466456695,698,0.0003694722254,
697,0.09623145312,697,0.01597168483,697,0.0001722017041,697,0.0002921955311,
696,0.09643254429,696,0.01647433825,696,0.0005342006334,696,0.0004876287712,
695,0.09613825381,695,0.01581699774,695,0.0001822754566,695,0.0002598175197,
694,0.0964147374,694,0.01616307534,694,0.0009294459014,694,0.0005142184091,
693,0.0961182937,693,0.01623949222,693,0.0008749723202,693,0.0005634369445,
692,0.09634667635,692,0.01617543399,692,0.0008540666313,692,0.0002944750304,
691,0.09645015746,691,0.01636441238,691,0.0008201684104,691,0.0004770296509,
690,0.0965795666,690,0.01602335833,690,0.0007799193263,690,0.0001945507393,
689,0.09702456743,689,0.01647732221,689,0.000956918695,689,0.0004085691471,
688,0.09702926129,688,0.0163679067,688,0.0006090836832,688,0.0004236492387,
687,0.09794162214,687,0.0165322572,687,0.001074145315,687,0.0004957661731,
686,0.09813173115,686,0.01643699408,686,0.001127346186,686,0.0005253627314,
685,0.09800497442,685,0.0160429664,685,0.00072074536,685,0.0002611384843,
684,0.09833970666,684,0.01629579253,684,0.0006796239759,684,0.0003443681053,
683,0.0981118381,683,0.01597689651,683,0.0009938372532,683,0.0004801652976,
682,0.09810752422,682,0.0163370762,682,0.0008866186836,682,0.00058720581,
681,0.09848313034,681,0.01632092334,681,0.0008997180266,681,0.0002373356256,
680,0.0985186547,680,0.01600590162,680,0.000891443342,680,0.0005939971888,
679,0.09778469801,679,0.0161849726,679,0.001135910861,679,0.0006134904688,
678,0.09764047712,678,0.0160429664,678,0.0007324395119,678,0.0003465183545,
677,0.09752798826,677,0.01600678824,677,0.0009903087048,677,0.000557734631,
676,0.09746409208,676,0.01608014293,676,0.0007829534006,676,0.0005047330633,
675,0.09784244746,675,0.01626773551,675,0.00116941845,675,0.0007551544695,
674,0.09725915641,674,0.01572836004,674,0.0003436686238,674,0.0001357931324,
673,0.09797136486,673,0.01605940424,673,0.001130382763,673,0.0005061843549,
672,0.09676225483,672,0.01584325358,672,0.0007788820076,672,0.0006542686024,
671,0.09682038426,671,0.0157846231,671,0.0008462078404,671,0.0004207990132,
670,0.09677024186,670,0.01596266218,670,0.001038154121,670,0.0005106419558,
669,0.09651781619,669,0.01610880531,669,0.00109220692,669,0.000485218683,
668,0.0959078595,668,0.01601825655,668,0.0008836357156,668,0.0007441858179,
667,0.09511654824,667,0.01555838529,667,0.0007065365207,667,0.0004375897115,
666,0.0947945863,666,0.01576365717,666,0.001356911496,666,0.0005308053805,
665,0.09441141039,665,0.01574843749,665,0.000950822141,665,0.0005811662413,
664,0.09390580654,664,0.01558081619,664,0.001276888652,664,0.0006012293161,
663,0.09386686236,663,0.01564199664,663,0.0008803156088,663,0.0005947229802,
662,0.09352139384,662,0.01559560001,662,0.0009472161182,662,0.0006344623398,
661,0.09299898893,661,0.01534763258,661,0.001017915201,661,0.0004551843449,
660,0.0933572948,660,0.01556219533,660,0.00113092782,660,0.0005735456944,
659,0.09354710579,659,0.01595116779,659,0.001151794917,659,0.0008565047174,
658,0.09356595576,658,0.01579941437,658,0.0009757278604,658,0.0008289085235,
657,0.0935870558,657,0.01550821587,657,0.00118457689,657,0.0005432460457,
656,0.09369090945,656,0.01560990233,656,0.0009105609497,656,0.0006201785873,
655,0.09424225241,655,0.01566813514,655,0.001399603323,655,0.0006351104239,
654,0.09419350326,654,0.01532819029,654,0.0008221653989,654,0.0004943408421,
653,0.09415899962,653,0.01511371601,653,0.0008402165258,653,0.0001080873699,
652,0.09454700351,652,0.01581119932,652,0.0009867023909,652,0.0004879915796,
651,0.0946021378,651,0.0156473089,651,0.001149069634,651,0.0006467504427,
650,0.09485213459,650,0.01546660904,650,0.0009882071754,650,0.0005749453558,
649,0.09484640509,649,0.01552611031,649,0.0008570234641,649,0.0004887690302,
648,0.09528575838,648,0.01569714583,648,0.0008155779215,648,0.0005238336162,
647,0.0953881219,647,0.01533752214,647,0.0009067736682,647,0.0006534908316,
646,0.09492079914,646,0.01551757846,646,0.001337930094,646,0.0006279814406,
645,0.09485522658,645,0.01536031719,645,0.001062649651,645,0.0006072172546,
644,0.0945000276,644,0.01550282352,644,0.0009793860372,644,0.0005411207094,
643,0.09411932528,643,0.01540518552,643,0.00117492117,643,0.0007410741528,
642,0.09388610721,642,0.01515917573,642,0.0007749921642,642,0.0002895274956,
641,0.09334725142,641,0.01544565987,641,0.001226369175,641,0.0006599462358,
640,0.09348212928,640,0.01555114146,640,0.001026166254,640,0.0005847433349,
639,0.09320352972,639,0.01549356896,639,0.001245241845,639,0.0006709905574,
638,0.09227947891,638,0.01534285862,638,0.0008928959724,638,0.0005107197212,
637,0.09231562912,637,0.01526764408,637,0.00118821091,637,0.0004780144081,
636,0.09194422513,636,0.01528475061,636,0.001001802506,636,0.0005774855381,
635,0.09189429134,635,0.01550105307,635,0.0010442778,635,0.0003949664533,
634,0.09155400097,634,0.01520150341,634,0.00117424631,634,0.0004620254622,
633,0.09186413139,633,0.01542272698,633,0.001150471158,633,0.0005288356915,
632,0.09166546166,632,0.01540140435,632,0.0009294199408,632,0.000684550032,
631,0.09140509367,631,0.01542567741,631,0.0008074605139,631,0.0005281099584,
630,0.09167607874,630,0.0152414497,630,0.001284755301,630,0.000695802446,
629,0.09139279276,629,0.01521037705,629,0.001083876705,629,0.0006061285385,
628,0.09116151184,628,0.01553965826,628,0.001268866356,628,0.000670134963,
627,0.09105844796,627,0.01538230851,627,0.0009203664958,627,0.000587153947,
626,0.09116629511,626,0.01540346909,626,0.00117494713,626,0.0006009441568,
625,0.09102237225,625,0.01534575503,625,0.001293530688,625,0.0006191157154,
624,0.09124575555,624,0.01555886865,624,0.001142347464,624,0.0004109788279,
623,0.09117249399,623,0.01546612661,623,0.001360494993,623,0.000689035398,
622,0.09091337025,622,0.01513237134,622,0.001007380895,622,0.000566443603,
621,0.09079396725,621,0.01523144916,621,0.001267983695,621,0.000487784273,
620,0.09166613221,620,0.01549002808,620,0.0010596395,620,0.0008790446445,
619,0.09177551419,619,0.01583482325,619,0.001351951854,619,0.0006501724711,
618,0.09169088304,618,0.01537214406,618,0.0008286492084,618,0.0003426582844,
617,0.09245072305,617,0.01573708467,617,0.001085667289,617,0.0006928985822,
616,0.09174999595,616,0.01563383825,616,0.001121480833,616,0.0005858319928,
615,0.09220911562,615,0.01551993936,615,0.001304123783,615,0.0006452468224,
614,0.09233230352,614,0.01561771054,614,0.000934063457,614,0.0004603670095,
613,0.09269481152,613,0.01539896335,613,0.001134950551,613,0.0007635562215,
612,0.0927061215,612,0.01572624035,612,0.001047780854,612,0.0005076356465,
611,0.09274274856,611,0.01558671892,611,0.001168665825,611,0.000765864097,
610,0.09292020649,610,0.01583554782,610,0.0009089526138,610,0.0007155077765,
609,0.09289811552,609,0.01559959818,609,0.001126360032,609,0.0004668972397,
